[Sat Mar 28 11:34:12.476271 2020] [proxy_fcgi:error] [pid 7:tid 139816268191488] [client 172.25.0.6:37190] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php
[Sat Mar 28 11:34:12.494580 2020] [proxy_fcgi:error] [pid 91:tid 139816914102016] [client 172.25.0.6:37200] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php
[Sat Mar 28 11:34:12.506947 2020] [proxy_fcgi:error] [pid 91:tid 139816150759168] [client 172.25.0.6:37214] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php
[Sat Mar 28 11:34:12.562408 2020] [proxy_fcgi:error] [pid 9:tid 139817604863744] [client 172.25.0.6:37224] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php
[Sat Mar 28 11:34:12.661949 2020] [proxy_fcgi:error] [pid 91:tid 139816133973760] [client 172.25.0.6:37230] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php
[Sat Mar 28 11:34:15.512422 2020] [proxy_fcgi:error] [pid 8:tid 139817325147904] [client 172.25.0.6:37254] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php?step=1&language=fa_IR
[Sat Mar 28 11:34:15.514455 2020] [proxy_fcgi:error] [pid 7:tid 139816914102016] [client 172.25.0.6:37260] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php?step=1&language=fa_IR
[Sat Mar 28 11:34:15.553957 2020] [proxy_fcgi:error] [pid 91:tid 139816117188352] [client 172.25.0.6:37266] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php?step=1&language=fa_IR
[Sat Mar 28 11:36:53.300770 2020] [proxy_fcgi:error] [pid 91:tid 139816150759168] [client 172.25.0.6:37836] AH01071: Got error 'PHP message: \xd8\xae\xd8\xb7\xd8\xa7\xdb\x8c Unknown column 'wp_' in 'field list' \xd8\xaf\xd8\xb1 \xd9\xbe\xd8\xa7\xdb\x8c\xda\xaf\xd8\xa7\xd9\x87\xe2\x80\x8c\xd8\xaf\xd8\xa7\xd8\xaf\xd9\x87\xd9\x94 \xd9\x88\xd8\xb1\xd8\xaf\xd9\xbe\xd8\xb1\xd8\xb3 \xd8\xa8\xd8\xb1\xd8\xa7\xdb\x8c \xd8\xaf\xd8\xb3\xd8\xaa\xd9\x88\xd8\xb1 SELECT wp_\n', referer: http://nasri.xyz/wp-admin/setup-config.php?step=1&language=fa_IR
[Sat Mar 28 11:36:53.402946 2020] [proxy_fcgi:error] [pid 91:tid 139816133973760] [client 172.25.0.6:37846] AH01071: Got error 'Primary script unknown\n', referer: http://nasri.xyz/wp-admin/setup-config.php?step=2
[Sat Mar 28 11:38:46.466709 2020] [proxy_fcgi:error] [pid 91:tid 139816150759168] [client 172.25.0.6:38274] AH01071: Got error 'PHP message: \xd8\xae\xd8\xb7\xd8\xa7\xdb\x8c Unknown column 'wp_' in 'field list' \xd8\xaf\xd8\xb1 \xd9\xbe\xd8\xa7\xdb\x8c\xda\xaf\xd8\xa7\xd9\x87\xe2\x80\x8c\xd8\xaf\xd8\xa7\xd8\xaf\xd9\x87\xd9\x94 \xd9\x88\xd8\xb1\xd8\xaf\xd9\xbe\xd8\xb1\xd8\xb3 \xd8\xa8\xd8\xb1\xd8\xa7\xdb\x8c \xd8\xaf\xd8\xb3\xd8\xaa\xd9\x88\xd8\xb1 SELECT wp_\n', referer: http://nasri.xyz/wp-admin/setup-config.php?step=1&language=fa_IR
